,source,target,value
349,13,25,7
350,14,0,37
351,14,1,24
352,14,2,31
353,14,3,24
354,14,4,23
355,14,5,28
356,14,6,17
357,14,7,24
358,14,8,31
359,14,9,16
360,14,10,25
361,14,11,17
362,14,12,20
363,14,13,17
364,14,15,16
365,14,16,9
366,14,17,9
367,14,18,19
368,14,19,22
369,14,20,15
370,14,21,13
371,14,22,14
372,14,23,21
373,14,24,25
374,14,25,8
375,15,0,35
376,15,1,19
377,15,2,29
378,15,3,21
379,15,4,20
380,15,5,21
381,15,6,23
382,15,7,20
383,15,8,22
384,15,9,23
385,15,10,22
386,15,11,18
387,15,12,13
388,15,13,10
389,15,14,16
390,15,16,8
391,15,17,5
392,15,18,15
393,15,19,11
394,15,20,18
395,15,21,11
396,15,22,17
397,15,23,16
398,15,24,22
399,15,25,10
400,16,0,34
401,16,1,20
402,16,2,18
403,16,3,22
404,16,4,22
405,16,5,12
406,16,6,12
407,16,7,12
408,16,8,8
409,16,9,33
410,16,10,6
411,16,11,16
412,16,12,14
413,16,13,3
414,16,14,9
415,16,15,8
416,16,17,9
417,16,18,26
418,16,19,10
419,16,20,13
420,16,21,3
421,16,22,14
422,16,23,9
423,16,24,6
424,16,25,6
425,17,0,35
426,17,1,31
427,17,2,16
428,17,3,33
429,17,4,27
430,17,5,18
431,17,6,20
432,17,7,6
433,17,8,13
434,17,9,7
435,17,10,28
436,17,11,18
437,17,12,17
438,17,13,11
439,17,14,9
440,17,15,5
441,17,16,9
442,17,18,10
443,17,19,9
444,17,20,9
445,17,21,13
446,17,22,10
447,17,23,14
448,17,24,6
449,17,25,8
450,18,0,41
451,18,1,30
452,18,2,32
453,18,3,29
454,18,4,18
455,18,5,23
456,18,6,24
457,18,7,23
458,18,8,22
459,18,9,25
460,18,10,19
461,18,11,23
462,18,12,15
463,18,13,8
464,18,14,19
465,18,15,15
466,18,16,26
467,18,17,10
468,18,19,17
469,18,20,18
470,18,21,18
471,18,22,18
472,18,23,14
473,18,24,12
474,18,25,8
475,19,0,37
476,19,1,25
477,19,2,25
478,19,3,25
479,19,4,24
480,19,5,18
481,19,6,26
482,19,7,17
483,19,8,19
484,19,9,10
485,19,10,16
486,19,11,19
487,19,12,13
488,19,13,7
489,19,14,22
490,19,15,11
491,19,16,10
492,19,17,9
493,19,18,17
494,19,20,17
495,19,21,16
496,19,22,18
497,19,23,18
498,19,24,12
499,19,25,10
500,20,0,37
501,20,1,30
502,20,2,25
503,20,3,30
504,20,4,33
505,20,5,30
506,20,6,27
507,20,7,18
508,20,8,16
509,20,9,12
510,20,10,20
511,20,11,14
512,20,12,7
513,20,13,10
514,20,14,15
515,20,15,18
516,20,16,13
517,20,17,9
518,20,18,18
519,20,19,17
520,20,21,14
521,20,22,19
522,20,23,11
523,20,24,9
524,20,25,17
525,21,0,32
526,21,1,20
527,21,2,20
528,21,3,38
529,21,4,16
530,21,5,17
531,21,6,23
532,21,7,19
533,21,8,14
534,21,9,4
535,21,10,18
536,21,11,14
537,21,12,18
538,21,13,7
539,21,14,13
540,21,15,11
541,21,16,3
542,21,17,13
543,21,18,18
544,21,19,16
545,21,20,14
546,21,22,9
547,21,23,15
548,21,24,6
549,21,25,8
550,22,0,46
551,22,1,28
552,22,2,24
553,22,3,28
554,22,4,33
555,22,5,22
556,22,6,23
557,22,7,18
558,22,8,20
559,22,9,11
560,22,10,23
561,22,11,23
562,22,12,14
563,22,13,6
564,22,14,14
565,22,15,17
566,22,16,14
567,22,17,10
568,22,18,18
569,22,19,18
570,22,20,19
571,22,21,9
572,22,23,22
573,22,24,12
574,22,25,8
575,23,0,46
576,23,1,25
577,23,2,22
578,23,3,18
579,23,4,17
580,23,5,20
581,23,6,13
582,23,7,21
583,23,8,17
584,23,9,9
585,23,10,22
586,23,11,12
587,23,12,9
588,23,13,11
589,23,14,21
590,23,15,16
591,23,16,9
592,23,17,14
593,23,18,14
594,23,19,18
595,23,20,11
596,23,21,15
597,23,22,22
598,23,24,20
599,23,25,9
600,24,0,36
601,24,1,27
602,24,2,22
603,24,3,11
604,24,4,11
605,24,5,19
606,24,6,13
607,24,7,15
608,24,8,26
609,24,9,7
610,24,10,19
611,24,11,13
612,24,12,10
613,24,13,10
614,24,14,25
615,24,15,22
616,24,16,6
617,24,17,6
618,24,18,12
619,24,19,12
620,24,20,9
621,24,21,6
622,24,22,12
623,24,23,20
624,24,25,6
625,25,0,26
626,25,1,20
627,25,2,20
628,25,3,26
629,25,4,23
630,25,5,27
631,25,6,18
632,25,7,12
633,25,8,12
634,25,9,8
635,25,10,14
636,25,11,15
637,25,12,28
638,25,13,7
639,25,14,8
640,25,15,10
641,25,16,6
642,25,17,8
643,25,18,8
644,25,19,10
645,25,20,17
646,25,21,8
647,25,22,8
648,25,23,9
649,25,24,6
