,compound,Movie
Tarzan II,-0.2681,TARZAN II
Incredibles 2,-0.164633333,INCREDIBLES 2
Tinker Bell and the Legend of the Neverbeast,-0.090733333,TINKER BELL: THE LEGEND OF THE NEVERBEAST
Sofia the First: The Curse of Princess Ivy,-0.013733333,SOFIA THE FIRST: THE CURSE OF PRINCESS IVY
Wreck-it Ralph,-0.00195,WRECK-IT RALPH
Tinker Bell and the Pirate Fairy,0.0113,TINKER BELL AND THE PIRATE FAIRY
Mulan,0.016683333,MULAN
Descendants 3,0.066509091,DESCENDANTS 3
Elena of Avalor: Realm of the Jaquins,0.085866667,ELENA OF AVALOR: REALM OF THE JAQUINS
