Movie,Song,Lyrics
Aladdin,Prince Ali,make way for prince ali say hey it's prince ali hey clear the way in the old bazaar hey you let us through it's a bright new star oh come be the first on your block to meet his eye make way here he comes ring bells bang the drums you're gonna love this guy prince ali fabulous he ali ababwa genuflect show some respect down on one knee now try your best to stay calm brush up your sunday salaam then come and meet his spectacular coterie prince ali mighty is he ali ababwa strong as ten regular men definitely he faced the galloping hordes a hundred bad guys with swords who sent those goons to their lords why prince ali he's got seventy-five golden camels purple peacocks he's got fifty-three when it comes to exotic-type mammals has he got a zoo i'm telling you it's a world-class menagerie prince ali handsome is he ali ababwa that physique how can i speak weak at the knee well get on out in that square adjust your veil and prepare to gawk and grovel and stare at prince ali he's got ninety-five white persian monkeys he's got the monkeys let's see the monkeys and to view them he charges no fee he's generous so generous he's got slaves he's got servants and flunkies proud to work for him they bow to his whim love serving him they're just lousy with loyalty to ali prince ali prince ali amorous he ali ababwa heard your princess was a sight lovely to see and that good people is why he got dolled up and dropped by with sixty elephants llamas galore with his bears and lions a brass band and more with his forty fakirs his cooks his bakers his birds that warble on key make way for prince ali 
Aladdin,Prince Ali (Reprise),prince ali yes it is he but not as you know him read my lips and come to grips with reality yes meet a blast from your past whose lies were too good to last say hello to your precious prince ali so ali turns out to be merely aladdin just a con need i go on take it from me his personality flaws give me adequate cause to send him packing on a one-way trip so his prospects take a terminal dip his assets frozen the venue chosen is in the ends of the earth salaam ex-prince ali 
Aladdin (Live-Action),Arabian Nights (2019),oh imagine a land it's a faraway place where the caravan camels roam where you wander among every culture and tongue it's chaotic but hey it's home when the wind's from the east and the sun's from the west and the sand in the glass is right come on down stop on by hop a carpet and fly to another arabian night as you wind through the streets at the fabled bazaars with the cardamom-cluttered stalls you can smell every spice while you haggle the price of the silks and the satin shawls oh the music that plays as you move through a maze in the haze of your pure delight you are caught in a dance you are lost in the trance of another arabian night arabian nights like arabian days more often than not are hotter than hot in a lot of good ways arabian nights like arabian dreams this mystical land of magic and sand is more than it seems there's a road that may lead you to good or to greed through the power your wishing commands let the darkness unfold or find fortunes untold well your destiny lies in your hands arabian nights like arabian days they seem to excite take off and take flight to shock and amaze arabian nights 'neath arabian moons a fool off his guard could fall and fall hard out there on the dunes 
Aladdin (Live-Action),A Whole New World, i can show you the world shining shimmering splendid tell me princess now when did you last let your heart decide i can open your eyes take you wonder by wonder over sideways and under on a magic carpet ride a whole new world a new fantastic point of view no one to tell us no or where to go or say we're only dreaming  a whole new world a dazzling place i never knew but when i'm way up here it's crystal clear that now i'm in a whole new world with you  now i'm in a whole new world with you  unbelievable sights indescribable feeling soaring tumbling freewheeling through an endless diamond sky a whole new world  don't you dare close your eyes  a hundred thousand things to see  hold your breath it gets better  i'm like a shooting star i've come so far i can't go back to where i used to be  a whole new world  every turn a surprise  with new horizons to pursue  every moment red-letter  i'll chase them anywhere there's time to spare let me share this whole new world with you  a whole new world  a whole new world  that's where we'll be  that's where we'll be  a thrilling chase  a wondrous place  for you and me 
Aladdin (Live-Action),A Whole New World (End Title), i can show you the world shining shimmering splendid tell me princess now when did you last let your heart decide i can open your eyes take you wonder by wonder over sideways and under on a magic carpet ride a whole new world a new fantastic point of view no one to tell us no or where to go or say we're only dreaming  a whole new world a dazzling place i never knew but when i'm way up here it's crystal clear that now i'm in a whole new world with you  now i'm in a whole new world with you  unbelievable sights indescribable feeling soaring tumbling freewheeling through an endless diamond sky  a whole new world  don't you dare close your eyes  a hundred thousand things to see  hold your breath it gets better  i'm like a shooting star i've come so far i can't go back to where i used to be  a whole new world with new horizons to pursue  i'll chase them anywhere there's time to spare  let me share this whole new world with you  a whole new world  a whole new world a new fantastic point of view  no one to tell us no or where to go or say we're only dreaming  a whole new world  every turn a surprise  with new horizons to pursue  every moment red-letter  i'll chase them anywhere there's time to spare  anywhere ooh  there's time to spare  let me share this whole new world with you  a whole new world  a whole new world  that's where we'll be  that's where we'll be  a thrilling chase  a wondrous place  for you and me 
Aladdin (Live-Action),Friend Like Me,here i go woo back up watch out you done wound me up 'bout to show you what i'm working with well ali baba he had them forty thieves scheherazade had a thousand tales but master you're in luck because up your sleeves you got a brand of magic never fails you got some power in your corner now heavy ammunition in your camp you got some punch pizazz yahoo and how all you gotta do is rub that lamp and then i'll say mrman what's your name whatever what will your pleasure be let me take your order i'll jot it down you ain't never had a friend like me life is your restaurant and i'm your maitre d' come whisper to me whatever it is you want you ain't never had a friend like me we pride ourselves on service you the boss the king the shah say what you wish it's yours true dish how about a little more baklava have some of column a try all of column b i'm in the mood to help you dude you ain't never had a friend like me oh it's the big part watch out it's the big part oh can your friends do this can your friends do that can your friends pull this outta of their little hat can your friends goi'm the genie of the lamp i can sing rap dance if you give me a chance oh don't sit there buggy-eyed i'm here to answer all your midday prayers you got me bona fide certified got a genie for your charge d'affaires i got a powerful urge to help you out so what's your wish i really wanna know you got a list that's three miles long no doubt all you gotta do is rub like so mr aladdin yes one wish or two or three well i'm on the job you big nabob you ain't never had a friend never had a friend you ain't never had a friend never had a friend you ain't never ever had a had a friend friend like like me you ain't never had a friend like me 
Aladdin (Live-Action),Friend Like Me (End Title),yeah another one you know it's will smith and dj khaled uh too late y'all done wound me up too late y'all done wound me up 'bout to show you what i'm working with show me what you're working with it's the ali baba it's the big papa it's the blue handsome jasmine like the flower it's the graduations that don't even cost a dollar you're riding on a carpet when you're riding with a holler like hey tell me where you wanna go hold up don't tell me i already know watch out it's the genie with the attitude three wishes what i need to make true mr mr mr mr tell me whatever you need anything rearrange even climate can change you ain't never had a friend like me never just a lamp and a rub away from whatever you want habibi let me show you the dream habibi just whisper if you don't wanna shout out what you need but i promise you ain't never had a friend like me tell the angels and gods pass the baklava make 'em travel from close make 'em travel from far well this is your chance man wish from the soul when i'm outta the lamp man i'm outta control i got gold on my shoes temple with jewels a room for wise men and plenty for fools i don't want you to lose tryin' to help you dude you ain't never had a friend like me never wish big time big time go big time big time go bit time big time wish big time big time let me see you flex on 'em flex 'em on shine on 'em shine on 'em style on 'em style on 'em slide on 'em slide on 'em too fly uh too fly on 'em just glide on 'em cool as a fan i'm the coolest bluest one of 'em all you can wish to be rich you can wish to be tall you can wish your way to hades you just give me a call you can wish for what you want 'cause i'm grantin' 'em all mr mr mr mr tell me whatever you need anything rearrange even climate can change you ain't never had a friend like me never just a lamp and a rub away from whatever you want habibi let me show you the dream habibi just whisper if you don't wanna shout out what you need but i promise you ain't never had a friend like me please don't get me started fly like magic carpet you ain't never had a friend never had a friend you ain't never had a friend never had a friend you ain't never never had a had a friend friend like like me you ain't never had a friend like me never 
Aladdin (Live-Action),One Jump Ahead, gotta keep one jump ahead of the breadline one swing ahead of the sword i steal only what i can't afford and that's everything one jump ahead of the lawmen that's all and that's no joke these guys don't appreciate i'm broke  riffraff street rat scoundrel  take that try a different tack guys  rip him open round the back guys  i can take a hint gotta face the facts could really use a friend or two  huh oh it's sad aladdin's hit the bottom he's become a one-man rise in crime i'd blame parents except he hasn't got 'em  gotta eat to live gotta steal to eat tell you all about it when i got the time one jump ahead of the slowpokes one skip ahead of my doom next time gonna use a nom de plume one jump ahead of the hitmen one hit ahead of the flock i think i'll take a stroll around the block  stop thief vandal abu scandal  let's not be too hasty  still i think he's rather tasty  gotta eat to live gotta steal to eat otherwise we'd get along  one jump ahead of the hoofbeats one hop ahead of the hump one trick ahead of disaster they're quick but i'm much faster here goes better throw my hand in wish me happy landin' all i gotta do is jump 
Aladdin (Live-Action),One Jump Ahead (Reprise),riffraff street rat i don't buy that if only they'd look closer would they see a poor boy no siree they'd find out there's so much more to me 
Aladdin (Live-Action),One Jump Ahead (Reprise 2),riffraff street rat would they think that if they look much closer still i can't play a prince here no siree gotta tell the truth i can't pretend even if it means this dream will end even if she walks away from me 
