Movie,Song,Lyrics
Beauty and the Beast: The Enchanted Christmas,As Long as There's Christmas, there is more to this time of year than sleigh bells and holly mistletoe and snow those things come and go much deeper than snow stronger than the strongest love we'll know we'll ever know as long as there's christmas i truly believe that hope is the greatest of the gifts we'll receive as long as there's christmas we'll all be just fine a star shines above us lighting your way and mine  just as long as there's christmas there will be christmas pud tons of turkey  and cranb'ry sauce and mince pies if we're good  loads of logs on the fire  lots of gifts on the tree all wrapped up in red ribbons  wonder if there's one for me  we're due for a party where on earth do we start  i may wear my tiara you bought me in monmartre  all the silver will sparkle  and the china will gleam  and we'll all be as shiny as a brand-new centime  after dinner we'll play games  till the morning breaks through  then we'll meet in the garden this is what we shall do  we will build us a snowman that will reach to the sky  it will stay up until july  as long as there's christmas i truly believe that hope is the greatest of the gifts we'll receive as long as there's christmas we'll all be just fine  there'll always be christmas so there always will be a time when the world is filled with peace and love 
Beauty and the Beast: The Enchanted Christmas,As Long as There's Christmas (Reprise), when i felt lost and lonely not a dream in my head your words lifted my spirits i remember what you said  as long as there's christmas i truly believe  that hope is the greatest of the gifts we'll receive as long as our guiding star shines above  there will always be christmas  so there always will be a time when the world is filled with peace and love 
Beauty and the Beast: The Enchanted Christmas,Don't Fall in Love,the quickest way to break your heart make you depressed and ill is to get tangled up inside the side effects could kill all passion is a waste of time a deadly game pour vous i am your friend your cher ami i wouldn't lie to you if you must love someone may i suggest you love yourself just think it through you'll never leave and you will find you'll get more rest you'll always feel as good as new your freedom is the most important thing my friend you must be strong you mustn't bend don't talk for hours don't send flowers don't write poems don't sing songs and dance beneath the stars that shine above don't fall in love as soon as your heart rules your head your life is not your own it's hell when someone's always there it's bliss to be alone and love of any kind is bad a dog a child a cat they take up so much precious time now where's the sense in that love takes the wildest heart and makes it tame if you're turned on then just turn off emotions are a thing all great men overcame please don't make this grande catastrophe don't get attached to anyone or anything there's nothing worse than things that cling you'll go to pot you'll turn to drink you'll never rest you'll end up mad and looking like some poor demented dove don't fall in love don't fall in love 
Beauty and the Beast: The Enchanted Christmas,Stories,when i get to know him we'll find more things to say one day i will reach him there has to be a way everyone needs someone he must need someone too when i get to know him better here's what i will do i'll read him stories from picture books all filled with wonder magic worlds where the impossible becomes the everyday we'll find a mountaintop and some moonbeams to sit under i'll lead because i know the way so much to discover i do it all the time i could live inside bright pages where the words all rhyme we will slay the dragons that still follow him around and he'll smile yes he'll smile as his dreams leave the ground stories and stories 'bout mermaids kings and sunken treasure magic worlds where the impossible becomes the everyday i know a tiny place just a dot too small to measure i'll take him there i know the way stories 'bout heroes who overcame their deepest sorrow they'll put hope into his heart again he'll cherish every day he'll find a better world and the strength to face tomorrow i'm sure that when he knows the way he'll want to stay 
Bedknobs and Broomsticks,Eglantine , let us strike a bargain you possess a gift but i can speak the jargon that will give your gift the needed lift you possess the know-how and i command the show-how oh how successful you could be with me eglantine eglantine oh how you shine your lot and my lot have got to combine eglantine eglantine hark to the stars destiny calls us the future is ours as the shine sells the boot and the blossoms the fruit all you need to succeed in your plan is the proper ally upon whom to rely and i'm your man for i have an acumen that's nigh superhuman i sell things that nobody can so i humbly suggest you accept my behest i'm your man eglantine eglantine oh how you shine your lot and my lot have got to combine eglantine eglantine hark to the stars destiny calls us the future is ours with my expert pantomiming the proper taste in timing i'll introduce you in the manner grand i'll whet their appetite for you i'll set the scene so right for you we'll have the beggars eating out of your hand as the words sell the tune and the moonbeams the moon all you need to succeed in your plan is a champion rare with a flourish and a flair and i'm your man  i have always had a bit of a knack for witchcraft common spells and simple charms came naturally so when the war began i conjured up a plan to do my bit in the national emergency i enrolled in your correspondence college of witchcraft and i slaved at every lesson as it came but the spell i counted on is the lesson that is gone it's disappeared and you're the one to blame your suggestions are rash and your manner is brash and i've no time to waste mr brown if i am to proceed it's that book that i need don't let me down but if you'll see me through i'll discuss it with you though i've no taste for playing a clown if i meet with success then i might acquiesce  i won't let you down eglantine eglantine oh how you shine your lot and my lot have got to combine eglantine eglantine hark to the stars destiny calls us the future is ours 
Bedknobs and Broomsticks,Portobello Road,portobello road portobello road street where the riches of ages are stowed anything and everything a chap can unload is sold off the barrow in portabello road you'll find what you want in the portabello road rare alabaster genuine plaster a filigreed samovar owned by the tzars a pen used by shelley a new botticelli the snippers that clipped old king edward's cigars waterford crystals napoleon's pistols society heirlooms with genuine gems rembrants el grecos toulouse letrec-os painted last week on the banks of the thames portobello road portobello road street where the riches of ages are stowed anything and everything a chap can unload is sold off the barrow in portabello road you'll meet all your chums in the portobello road burkes peerage the bride book the fish monger's guide book a victorian novel the unwanted son the history of potting the yearbook of yachting the leatherbound life of attila the hun portobello road portobello road street where the riches of ages are stowed artifacts to glorify our regal abode are hidden in the flotsam in portobello road tokens and treasures yesterday's pleasures cheap imitations of heirlooms of old dented and tarnished scarred and unvarnished in old portobello they're bought and they're sold you can eat like a king here in portobello road portobello road portobello road all kinds of things are happening in portobello road you'll feel like a ballerina when you're hopping like a toad when you kick your heels up down in portobello road 
Bedknobs and Broomsticks,Substitutiary Locomotion,treguna mekoides tracorum satis dee substitutiary locomotion mystic power that's far beyond the wildest notion it's a weird so feared and yet wonderful to see substitutiary locomotion come to me treguna mekoides tracorum satis dee i don't want locomotiary substitution or remote intrasitory convolution only one precise solution is the key substitutiary locomotion it must be treguna mekoides and tracorum satis dee substitutiary locomotion lovely substitutiary locomotion you make substitutiary mystery with treguna mekoides and a little help from me with treguna mekoides and tracorum satis dee 
Bedknobs and Broomsticks,The Age of Not Believing,when you rush around in hopeless circles searching everywhere for something true you're at the age of not believing when all the make believe is through when you set aside your childhood heroes and your dreams are lost upon a shelf you're at the age of not believing and worst of all you doubt yourself you're a castaway where no one hears you on a barren isle in a lonely sea where did all the happy endings go where can all the good times be you must face the age of not believing doubting everything you ever knew until at last you start believing there's something wonderful in you 
Bedknobs and Broomsticks,The Beautiful Briny,how pleasant bobbing along bobbing along on the bottom of the beautiful briny sea what a chance to get a better peep at the plants and creatures of the deep we glide far below the rolling tide serene through the bubbly blue and green it's lovely bobbing along bobbing along on the bottom of the beautiful briny sea what if the octopus the flounder and the cod think we're rather odd it's fun to promenade bobbing along singing a song on the bottom of the beautiful briny sea look it's lovely bobbing along bobbing along on the bottom of the beautiful briny sea what a chance to get a better peep at the plants and creatures of the deep it's grand when you're dancing on the sand each glance bubbles over with romance it's lovely bobbing along bobbing along through the water where we get along swimmingly far from the frenzy of the frantic world above two beneath the blue could even fall in love bobbing along singing a song on the bottom of the beautiful briny sea bobbing along singing a song on the bottom of the beautiful briny shimmery shiny beautiful briny sea 
Bedknobs and Broomsticks,The Old Home Guard,they're sailing for england oh what a shame someone is after our island again we'll let them have it oh yes we will but maybe they won't want it when they get the bill for we wrote the story of the old brigades we know the glory of yesterday's parades we'll sell them blighty yard by yard they'll buy it from the old home guard they will they'll buy it from the old home guard so call out the navy call out the ranks call out the air force call out the tanks from the cliffs of dover call up the gulls and don't forget the loyal territorials but who's sticking in here who will defend every inch of england no matter what they send who's standing firm in our own front yard the soldiers of the old home guard that's who the soldiers of the old home guard for we wrote the story of the old brigades we know the glory of yesterday's parades who's standing firm in our own front yard the soldiers of the old home guard that's who the soldiers of the old home guard 
Bolt,Barking at the Moon,i have got so much to give i swear i do i may not have nine lives but this one feels brand new yes i've lived a good one i've tried to be true there are some things i never realised till i met you how the wind feels on my cheeks when i'm barking at the moon there is no home like the one you've got 'cause that home belongs to you woo hoo here i come woo hoo back to you there is no home like the one you've got 'cause that home belongs to you well i was in trouble bad i was so confused i may not see in color babe but i sure can feel blue i have been a lot of things they may not all be true my experience was so mysterious till i met you now the sun will rise in the east but i'm barking at the moon there is no home like the one you've got 'cause that home belongs to you woo hoo here i come woo hoo back to you there is no home like the one you've got 'cause that home belongs to you there is no home like the one you've got 'cause that home belongs to you 
Bolt,Barking at the Moon (Reprise),instrumental there is no home like the one you've got 'cause that home belongs to you 
Bolt,I Thought I Lost You,nobody listens to me don't hear a single thing i've said say anything to soothe me anything to get you from my head don't know how i really feel the faith it takes to make like i don't care don't know how much it hurts to turn around like you were never there like somehow you could be replaced and i could walk away from the promises we made and swore we'd never break i thought i lost you when you ran away to try to find me i thought i'd never see your sweet face again i turned around and you were gone and on and on the days went i kept the moment that we were in cause i knew in my heart you'd come back to me my friend and now i got you but i thought i'd lost you i told myself i wouldn't sleep to search the world from sea to sea i made a wish upon a star i turned around and there you were now here we are here we are i thought i lost you i thought i lost you you i thought i lost you i thought i lost you 
Brave,Into the Open Air,this love it is a distant star guiding us home wherever we are this love it is a burning sun shining a light on the things that we've done i tried to speak to you every day but each word we spoke the wind blew away how did we let it come to this what we've just tasted we somehow still miss how will it feel when this day is done and can we keep what we've only begun could these walls come crumbling down i want to feel my feet on the ground can we carry this love that we share into the open air into the open air into the open air this love it is a burning sun 
Brave,Learn Me Right,though i may speak some tongue of old or even spit out some holy word i have no strength with which to speak when you sit me down and see i'm weak we will run and scream you will dance with me we'll fulfill our dreams and we'll be free we will run and scream you will dance with me we'll fulfill our dreams and we'll be free we will be who we are and they'll heal our scars sadness will be far away so i have done wrong to put me right my judgment burned in black of night then i give less than i take it is my fault my own mistake we will run and scream you will dance with me we'll fulfill our dreams and we'll be free we will be who we are and they'll heal our scars sadness will be far away 
Brave,Song of Mor'du,i've hunted for him high 'n low i've looked him in the eye i've dreamed about the perfect way to make this devil die come taste mah blade ye manky bear for gobblin' up mah leg i'll hunt ye then i'll skin ye hang yer noggin on a peg mor'du mor'du mor'du mor'du ye'r ancient as the highlands and as unforgivin' too mor'du mor'du mor'du mor'du now the time has come for all of us tae slaughter you he's bigger than a cuillin killin' armies with his paws mor'du is never happy till the blood runs from his jaws he murders in the mountains and he fights with every clan his teeth and jowls have ripped the hearts fae many a highland man mor'du mor'du mor'du mor'du he's stolen lads and lassies and wee bonnie babies too mor'du mor'du mor'du mor'du now the time has come for all of us tae slaughter you through glen and bog and peat and fog we'll find yer furry lair and then we'll lance ya make ya dance ye'r better aff na mair we'll roast yer rump add haggis and neeps and fry yer blue blood black we'll mix a slice of thigh with spice and grill ye on the rack mor'du mor'du mor'du mor'du we'll bile yer heed wi' dumplin' breid tae mak' an ursine stew mor'du mor'du mor'du mor'du now the time has come for all the clans tae slaughter you we'll make his hide a cozy chair his head upon the wall we'll splash a dram of whiskey on his snout at every ball tales we'll tell from glen to glen of how we slayed the beast and all will toast brave highland men at every royal feast mor'du mor'du mor'du mor'du the legend spreads from fire tae fire of the devil that we slew mor'du mor'du mor'du mor'du now the time has come for all the clans tae slaughter you hey 
Brave,Touch the Sky,when the cold wind is a'calling and the sky is clear and bright misty mountains sing and beckon lead me out into the light i will ride i will fly chase the wind and touch the sky i will fly chase the wind and touch the sky where dark woods hide secrets and mountains are fierce and bold deep waters hold reflections of times lost long ago i will hear their every story take hold of my own dream be as strong as the seas are stormy and proud as an eagle's scream i will ride i will fly chase the wind and touch the sky i will fly chase the wind and touch the sky and touch the sky chase the wind chase the wind touch the sky 
Brother Bear,Great Spirits,when the earth was young and the air was sweet and the mountains kissed the sky in the far beyond with its many paths man and nature lived side by side but great wisdom does not come without learning and great vision not only with our eyes we can think that we see truly see you're around us but when we look do we see with open minds great spirits of all who lived before take our hands and lead us fill our hearts and souls with all you know the key to understanding is to see through others' eyes find a way to help us see from all sides truly see from all sides teach our children to look deeper than the surface see the world through another's eyes for to be blind beyond yourself is to look but not see and knowing much is not enough to be wise to see the wonder in all we've been given in a world that's not always as it seems on the path that we choose turn every corner follow on for another begins great spirits of all who lived before take our hands and lead us fill our hearts and souls with all you know the key to understanding is to see through others' eyes find a way to help us see from all sides truly see from all sides great spirits of all who lived before take our hands and lead us fill our hearts and souls with all you know the key to understanding is to see through others' eyes find a way to help us see from all sides truly see from all sides see from all sides 
Brother Bear,Look Through My Eyes,there are things in life you'll learn and in time you'll see 'cause out there somewhere it's all waiting if you keep believing so don't run don't hide it will be all right you'll see trust me i'll be there watching over you just take a look through my eyes there's a better place somewhere out there just take a look through my eyes everything changes you'll be amazed what you'll find if you look through my eyes there will be times on this journey all you'll see is darkness but out there somewhere daylight finds you if you keep believing so don't run don't hide it will be all right you'll see trust me i'll be there watching over you just take a look through my eyes there's a better place somewhere out there just take a look through my eyes everything changes you'll be amazed what you'll find if you look through my eyes all the things that you can change there's a meaning in everything and you will find all you need there's so much to understand just take a look through my eyes there's a better place somewhere out there just take a look through my eyes everything changes you'll be amazed what you'll find if you look through my eyes take a look through my eyes 
Brother Bear,No Way Out,everywhere i turn i hurt someone but there's nothing i can say to change the things i've done of all the things i hid from you i cannot hide the shame and i pray someone something will come to take away the pain there's no way out of this dark place no hope no future i know i can't be free but i can't see another way i can't face another day tell me where did i go wrong everyone i loved they're all gone i'd do everything so differently but i can't turn back the time there's no shelter from the storm inside of me oh oh oh oh oh there's no way out of this dark place no hope no future i know i can't be free but i can't see another way i can't face another day i can't believe the words i hear it's like an answer to a prayer when i look around i see this place this time this friend of mine i know it's hard but you found somehow to look into your heart and to forgive me now you've given me the strength to see just where my journey ends you've given me the strength to carry on oh oh oh oh oh i see the path from this dark place i see my future your forgiveness has set me free oh and i can see another way i can face another day i see the path i see the future i see the path from this dark place i see the future i see the path i can see the path i see the future 
Brother Bear,On My Way,tell everybody i'm on my way new friends and new places to see with blue skies ahead yes i'm on my way and there's nowhere else that i'd rather be tell everybody i'm on my way and i'm loving every step i take with the sun beating down yes i'm on my way and i can't keep this smile off my face 'cause there's nothing like seeing each other again no matter what the distance between and the stories that we tell will make you smile oh it really lifts my heart so tell 'em all i'm on my way new friends and new places to see and to sleep under the stars who could ask for more with the moon keeping watch over me not the snow not the rain can change my mind the sun will come out wait and see and the feeling of the wind in your face can lift your heart oh there's nowhere i would rather be 'cause i'm on my way now well and truly i'm on my way now i'm on my way now i'm on my way now i'm on my way now tell everybody i'm on my way and i just can't wait to be there with blue skies ahead yes i'm on my way and nothing but good times to share so tell everybody i'm on my way and i just can't wait to be home with the sun beating down yes i'm on my way and nothing but good times to show i'm on my way yes i'm on my way 
Brother Bear,Transformation (Phil Collins),come with me i'll take you now to a place that you fear for no reason why your heart has turned away from me and i will make you understand everything will become clear to you when you see things through another's eyes everything will become clear to you whatever's meant for you you will find come with me i'll take you there to a place where you'll see everything you need to be the one you need to be and all of those things that you feared will disappear from you in time everything will become clear to you when you see things through another's eyes everything will become clear to you whatever's meant for you you will find 
Brother Bear,Welcome,everyone's invited this is how we live we're all here for each other happy to give all we have we share and all of us we care so come on welcome to our family time welcome to our brotherly time we're happy giving and taking to the friends we're making there's nothing we won't do welcome to our family time welcome to our happy to be time this is our festival you know and best of all we're here to share it all there's a bond between us nobody can explain it's a celebration of life and seeing friends again i'd be there for you i know you'd be there for me too so come on welcome to our family time welcome to our brotherly time this is our festival you know and best of all we're here to share it all remembering loved ones departed someone dear to your hear finding love  planning a future telling stories and laughing with friends precious moments you'll never forget this has to be the most beautiful the most peaceful place i've ever been to it's nothing like i've ever seen before when i think how far i've come i can't believe it and yet i see it in them i see family i see the way we used to be so come on welcome to our family time welcome to our brotherly time we're happy giving and taking to the friends we're making there's nothing we won't do welcome to our family time welcome to our happy to be time this is our festival you know and best of all we're here to share it all we're here to share it all 
Brother Bear 2,Feels Like Home,funny how it turns out that everything can change what i feel right now is not the same as yesterday there's more than i imagined deep inside my heart emotions that i never knew and this is just the start so many things i've been missing not watching but that was all in the past now i realise there's so much more to learn i'm ready for the world not scared of letting go now i realise there's so much more to feel and my heart knows it's real the part of me so long-forgotten is calling and this feels like home home home feels just like home learning how to smile again free to show my heart knowing i can face the things that used to seem too hard i look inside your eyes and see a different part of me what i didn't know i want in life you're everything i need so many things i've been missing not watching but that was all in the past now i realise there's so much more to learn i'm ready for the world not scared of letting go now i realise there's so much more to feel and my heart knows it's real the part of me so long-forgotten is calling and this feels like home home home feels just like home feels just like home right from the start been friends forever somehow we're meant to be together i feel like you've shown me how to find my way home find my way home now i realise feels just like home feels just like home feels just like home feels just like home feels like home now i realise there's so much more to learn i'm ready for the world not scared of letting go now i realise there's so much more to feel and my heart knows it's real the part of me so long-forgotten is calling and this feels like home this feels like home home home feels just like home feels just like home 
Brother Bear 2,It Will Be Me,if you hear a voice in the middle of the night saying it'll be all right it will be me if you feel a hand guiding you along when the path seems wrong it will be me there is no mountain that i can't climb for you i'd swim through the rivers of time as you go your way and i go mine our light will shine and it will be me if there is a key that goes to your heart a special part it will be me if you need a friend call out to the wind to hold you again it will be me oh how the world seems so unfair creating a love that cannot be shared as you go your way and i go mine our light will shine and it will be me past the ever after there's a place for two in your tears of laughter i'll be there for you in the sun and the moon in the land and the sea look all around you it will be me there is no mountain that i can't climb for you i'd swim through the rivers of time as you go your way and i go mine our light will shine and it will be me it will be me it will be me 
Brother Bear 2,Welcome to This Day,waking up in the light of a shiny new day giving thanks to the moon for guiding my way there is no greater gift to the soul than each breath that my body can hold so great spirit hear my voice today welcome magic welcome sweet sunray love is no secret look all around you welcome to this day life is simple and clear when you make the right choice it's true that you're here when you find your own voice oh my brothers and sisters believe you are just what you are meant to be oh great spirit hear my voice today welcome magic welcome sweet sunray love is no secret look all around you welcome to this day welcome magic welcome sweet sunray love is no secret look all around you welcome magic welcome sweet sunray love is no secret look all around you welcome to this day look all around you love is no secret look all around you welcome to this day 
Brother Bear 2,Welcome to This Day (Reprise),life is simple and clear when you make the right choice it's true that you're here when you find your own voice oh my brothers and sisters believe you are just what you are meant to be oh great spirits hear my voice today look all around you welcome magic welcome sweet sunray welcome sweet sunray love is no secret look all around you welcome to this day welcome magic love is no secret look all around you welcome to this day 
Camp Rock,2 Stars,wake up when will things be good enough for you to see all that we can be i'm sick of playin' games and actin' like we never care like we're never there we pay attention for only seconds look at you look at me there's never any us can't you see all we can become we can shine like the sun if we believe that 2 stars are brighter than one come on come on come on look at you come on come on come on look at me listen the way we feel is not just about you and me it's the harmony just give in give in 'cause together we'll be brighter than just any star a work of art we'll make the sky bright we'll light it you and i look at you look at me there's never any us can't you see all we can become we can shine like the sun if we believe that 2 stars are brighter than one come on come on come on look at you come on come on come on is it too much to ask that you put us first i feel like we're last in our universe and that's not where we ought to be look at you look at me there's never any us can't you see all we can become we can shine like the sun if we believe that 2 stars are brighter than one look at you look at me there's never any us can't you see all we can become we can shine like the sun if we believe that 2 stars are brighter than one come on come on come on look at you come on come on come on look at me come on come on come on look at you come on come on come on look at me 
Camp Rock,Gotta Find You,every time i think i'm closer to the heart of what it means to know just who i am i think i've finally found a better place to start but no one ever seems to understand i need to try to get to where you are could it be you're not that far you're the voice i hear inside my head the reason that i'm singing i need to find you i gotta find you you're the missing piece i need the song inside of me i need to find you i gotta find you oh yeah yeah yeah you're the remedy i'm searching hard to find to fix the puzzle that i see inside painting all my dreams the color of your smile when i find you it will be alright i need to try to get to where you are could it be you're not that far you're the voice i hear inside my head the reason that i'm singing i need to find you i gotta find you you're the missing piece i need the song inside of me i need to find you i gotta find you been feeling lost can't find the words to say spending all my time stuck in yesterday where you are is where i wanna be oh next to you you next to me oh i need to find you yeah you're the voice i hear inside my head the reason that i'm singing i need to find you i need to find you i gotta find you yeah yeah you're the missing piece i need the song inside of me i need to find you i gotta find you i gotta find you you're the voice i hear inside my head the reason that i'm singing i need to find you i need to find you i gotta find you i gotta find you you're the missing piece i need the song inside of me i need to find you i gotta find you yeah yeah i gotta find you 
Camp Rock,Hasta La Vista,yeah it's your boy barron yo and the place to be it's crazy come rock with me couldn't wait to leave but now i hate to go last day of camp packing my bags slow slow made so many friends why does it have to end in the end it's a win 'cause we've grown so close together remember when we first met first day day thinkin' this would be no fun no way and now it's time to leave leave but now we wanna stay stay stay stay stay stay stay oh hasta la vista i'm gonna say goodbye to you whatever happens i'll be cool with you wanna give me your number i'll call ya promise i won't forget ya hasta la vista we'll all be going seperate ways say everything you didn't say this is your moment before you go come on now get up and show them keep doing your thing thing thing keep doing your thing thing thing and i'm gonna do my thing there's so much more inside of me there's so much more i just want to be all the things i've seen obviously i'm inspired got love for all the friendships i've acquired everybody put a hand up put a hand up hey hey hey everybody put a hand up put a hand up hey hey hey hasta la vista i'm gonna say goodbye to you whatever happens i'll be cool with you wanna give me your number i'll call ya promise i won't forget ya hasta la vista we'll all be going seperate ways say everything you didn't say this is your moment before you go come on now get up and show them keep doing your thing thing thing keep doing your thing thing thing keep doing your thing thing thing keep doing your thing thing thing h-a-s-t-a la vista h-a-s-t-a la vista hasta la vista i'm gonna say goodbye to you whatever happens i'll be cool with you wanna give me your number i'll call ya promise i won't forget ya hasta la vista we'll all be going separate ways say everything you didn't say this is your moment before you go come on now get up and show them h-a-s-t-a la vista h-a-s-t-a la vista 
Camp Rock,Here I Am,they tell you a good girl is quiet that you should never ask why 'cause it only makes it harder to fit in you should be happy excited even if you're just invited 'cause the winners need someone to clap for them it's so hard just waiting in a line that never moves it's time you started making your own rules you gotta scream until there's nothing left with your last breath so here i am here i am make 'em listen 'cause there's no way you'll be ignored not anymore so here i am here i am here i am oh oh oh here i am oh oh you only get one life to work it so who cares if it's not perfect i say it's close enough to perfect for me why should you hide from the thunder and the lightning that you're under 'cause there ain't nobody else you wanna be if how your living isn't working there's one thing that will help you gotta finally just stop searching to find yourself oh you gotta scream until there's nothing left with your last breath so here i am here i am make 'em listen 'cause there's no way you'll be ignored not anymore so here i am here i am here i am the world better make some room yeah move over over 'cause you're coming through 'cause you're coming through you gotta scream until there's nothing left with your last breath here i am here i am make 'em listen 'cause there's no way you'll be ignored not anymore so here i am here i am here i am oh oh oh here i am oh oh oh here i am 
Camp Rock,Play My Music,turn on that radio as loud as it can go wanna dance until my feet can't feel the ground say goodbye to all my fears one good song they disappear and nothing in the world can bring me down hand-clapping hip-shaking heart-breaking there's no faking what you feel when you're right at home yeah music's in my soul i can hear it every day and every night it's the one thing on my mind music's got control and i'm never letting go no no i just want to play my music got my six string on my back don't need anything but that everything i want is here with me so forget that fancy car i don't need to go that far what's driving me is following my dreams yeah hand-clapping hip-shaking heart-breaking there's no faking what you feel when you're right at home yeah music's in my soul i can hear it every day and every night it's the one thing on my mind music's got control and i'm never letting go no no i just want to play my music i just want to play my music can't imagine what it'd be like without the sounds of all my heroes singing all my favorite songs so i can sing along music's in my soul i can hear it every day every night it's the one thing on my mind music's got control and i'm never letting go no no i just want to play my music music's in my soul i can hear it every day and every night it's the one thing on my mind music's got control and i'm never letting go no no i just want to play my music all night long yeah 
Camp Rock,Start the Party,first stop hit the groove let the music play next stop everybody it's time to celebrate here we go so let your flow show make the dreams you got become real let's do this let me hear you now show me how you feel let's start start start the party come on come on everyone let's start start start the party what you waitin' for now start start start the party come on come on live it up let's start start start the party i know you're never gonna wanna stop stand up and do the dance the way you do i i can see all the crowd on the dance floor with its groove oh here we go so let your flow show like you never ever did before let's do this let me hear you say more more more let's start start start the party come on come on everyone let's start start start the party what you waitin' for now start start start the party come on come on live it up let's start start start the party i know you're never gonna wanna stop let the music take us to paradise just close our eyes feel the groove wanna shake us everywhere and everybody turn it up and start the party we got it rolling never slowing down lights camera action start the party now i know you're ready there's no need to wait now's the time for us to celebrate start start the party let's do it start start the party everybody now start start the party let's get to it start start the party let's start start start the party come on come on everyone let's start start start the party what you waitin' for now start start start the party come on come on live it up let's start start start the party i know you're never gonna wanna stop let's start start start the party come on come on everyone let's start start start the party what you waitin' for now start start start the party come on come on live it up let's start start start the party i know you're never gonna wanna come on let me hear you holler party's never ever gonna stop 
Camp Rock,This Is Me, i've always been the kind of girl that hid my face so afraid to tell the world what i've got to say but i have this dream right inside of me i'm gonna let it show it's time to let you know to let you know this is real this is me i'm exactly where i'm supposed to be now gonna let the light shine on me now i've found who i am there's no way to hold it in no more hiding who i wanna be this is me do you know what it's like to feel so in the dark to dream about a life where you're the shining star even though it seems like it's too far away i have to believe in myself it's the only way this is real this is me i'm exactly where i'm supposed to be now gonna let the light shine on me now i've found who i am there's no way to hold it in no more hiding who i wanna be this is me  you're the voice i hear inside my head the reason that i'm singing i need to find you i gotta find you you're the missing piece i need the song inside of me i need to find you  i gotta find you  this is real this is me  i'm exactly where i'm supposed to be now gonna let the light shine on me now i've found who i am there's no way to hold it in no more hiding who i wanna be  this is me  you're the missing piece i need the song inside of me  this is me  you're the voice i hear inside my head the reason that i'm singing  now i've found who i am there's no way to hold it in no more hiding who i wanna be this is me 
Camp Rock,Too Cool,i'm too cool for my dress these shades don't leave my head everything you say is so irrelevant you follow and i lead you wanna be like me but you're just a wannabe love it or hate it i can't help the way i am hope you don't misunderstand but i'm too cool too cool yeah i'm too cool to know you don't take it personal don't get emotional you know it's the truth i'm too cool for you you think you're hot but i'm sorry you're not exactly who you think you are can't tell you what that you haven't got but when we walk into the room i'm too cool for you you're lucky i'm so nice even i'm surprised you are still allowed to be in my crew i'll show you how it's done if you wanna be someone just watch me and you'll learn some me myself and i agree you'll never catch up with me 'cause i'm too cool too cool yeah i'm too cool to know you don't take it personal don't get emotional you know it's the truth i'm too cool for you you think you're hot but i'm sorry you're not exactly who you think you are can't tell you what that you haven't got but when we walk into the room i'm too cool for you you see some are born with beauty brains and talent and they got it all while others have to try all their lives still they never get the call that's the difference between you and me obviously i'm a natural i'm the real deal i can't help the way i am hope you don't misunderstand but i'm too cool too cool yeah i'm too cool to know you don't take it personal don't get emotional you know it's the truth i'm too cool for you too cool too cool yeah i'm too cool to know you don't take it personal don't get emotional you know it's the truth i'm too cool for you 
Camp Rock,We Rock,'cause we rock we rock we rock on we rock we rock on come as you are you're a superstar the world's in your pocket and you know it you can feel that beat running through your feet heart's racing fast you're rock and rollin' all that you need is the music to take you to some other place where you know you belong raise your hands up in the air and scream we're finding our voice following our dreams 'cause we rock we rock we rock we rock on nobody in the world's gonna bring us down the louder we go well the better we sound 'cause we rock we rock we rock we rock on we rock we rock we rock on we rock we rock we rock on we're finally letting go losing all control won't stop ourselves 'cause we love it we're not afraid to be everything you see no more hiding now we're gonna own it all that you need is the music to take you to some other place where you know you belong raise your hands up in the air and scream we're finding our voice following our dreams 'cause we rock we rock we rock we rock on nobody in the world's gonna bring us down the louder we go well the better we sound 'cause we rock we rock we rock we rock on we got the music in our souls and it's the thing we want the most it picks us up when we fall down it turns our world around 'cause we rock camp rock we rock we rock on every day and every night 'cause we rock camp rock we rock we rock on don't we wanna do it loud raise your hands up in the air and scream we're finding our voice following our dreams 'cause we rock we rock we rock we rock on nobody in the world's gonna bring us down the louder we go well the better we sound 'cause we rock we rock we rock we rock on raise your hands up in the air and scream we're finding our voice following our dreams 'cause we rock we rock we rock we rock on nobody in the world's gonna bring us down the louder we go well the better we sound 'cause we rock we rock we rock we rock on we rock we rock we rock on we rock we rock we rock camp rock 
